,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
15114,Tommy Milone,2 Seam Fastball,0.511,1.381,R,0.0,0.0
15115,Tommy Milone,Changeup,0.912,1.225,R,1.0,0.0
15116,Tommy Milone,4 Seam Fastball,0.059,2.589,R,1.0,1.0
15128,Tommy Milone,4 Seam Fastball,-0.363,3.3280000000000003,R,0.0,0.0
15129,Tommy Milone,4 Seam Fastball,-1.435,3.751,R,0.0,1.0
15130,Tommy Milone,4 Seam Fastball,-1.043,2.336,R,1.0,1.0
15131,Tommy Milone,Changeup,0.041,1.575,R,2.0,1.0
15132,Tommy Milone,4 Seam Fastball,-0.029,2.869,R,2.0,2.0
15133,Tommy Milone,Changeup,1.189,3.909,R,0.0,0.0
15134,Tommy Milone,Changeup,0.236,1.935,R,1.0,0.0
15135,Tommy Milone,4 Seam Fastball,-0.846,2.005,R,1.0,1.0
15136,Tommy Milone,4 Seam Fastball,-0.374,3.804,R,1.0,2.0
15137,Tommy Milone,4 Seam Fastball,-0.7909999999999999,2.028,L,0.0,0.0
15138,Tommy Milone,Curveball,-0.21,2.3080000000000003,L,0.0,1.0
15139,Tommy Milone,4 Seam Fastball,-0.78,3.81,L,0.0,2.0
15140,Tommy Milone,4 Seam Fastball,-0.848,2.44,L,1.0,2.0
15171,Tommy Milone,Changeup,-0.16399999999999998,1.016,R,0.0,0.0
15172,Tommy Milone,4 Seam Fastball,-1.08,1.629,R,1.0,0.0
15173,Tommy Milone,4 Seam Fastball,-1.516,2.24,R,1.0,1.0
15174,Tommy Milone,2 Seam Fastball,0.403,1.346,R,2.0,1.0
15175,Tommy Milone,4 Seam Fastball,0.294,2.658,R,0.0,0.0
15176,Tommy Milone,4 Seam Fastball,-0.898,1.412,R,0.0,1.0
15177,Tommy Milone,4 Seam Fastball,-0.718,2.897,R,1.0,1.0
15178,Tommy Milone,4 Seam Fastball,-0.669,2.9,R,1.0,2.0
15179,Tommy Milone,Changeup,0.044,-0.949,R,1.0,2.0
15180,Tommy Milone,4 Seam Fastball,0.8390000000000001,2.546,R,2.0,2.0
15181,Tommy Milone,Curveball,-0.275,2.367,R,2.0,2.0
15182,Tommy Milone,4 Seam Fastball,-0.435,2.522,R,2.0,2.0
15183,Tommy Milone,Changeup,1.186,3.064,R,0.0,0.0
15184,Tommy Milone,4 Seam Fastball,-0.172,3.515,R,1.0,0.0
15185,Tommy Milone,4 Seam Fastball,-0.48,3.494,R,1.0,1.0
15186,Tommy Milone,4 Seam Fastball,-0.163,4.238,R,1.0,2.0
15210,Tommy Milone,4 Seam Fastball,-1.281,2.87,L,0.0,0.0
15211,Tommy Milone,Cutter,-0.321,2.491,L,1.0,0.0
15212,Tommy Milone,4 Seam Fastball,-2.6460000000000004,0.813,L,1.0,1.0
15213,Tommy Milone,4 Seam Fastball,-0.484,2.407,L,2.0,1.0
15214,Tommy Milone,4 Seam Fastball,-0.78,2.7960000000000003,L,2.0,2.0
15215,Tommy Milone,4 Seam Fastball,-0.994,2.335,L,2.0,2.0
15216,Tommy Milone,4 Seam Fastball,-0.34700000000000003,1.533,L,2.0,2.0
15217,Tommy Milone,4 Seam Fastball,0.35100000000000003,2.527,L,2.0,2.0
15218,Tommy Milone,Curveball,-0.122,1.648,L,0.0,0.0
15219,Tommy Milone,Curveball,-0.079,1.838,R,0.0,0.0
15220,Tommy Milone,4 Seam Fastball,0.998,1.45,R,0.0,1.0
