,pitcher_id,pitch_type,px,pz,stand,b_count,s_count
23849,Chris Sale,CH,1.536,2.079,R,0.0,2.0
23850,Chris Sale,FT,-0.192,2.11,R,0.0,0.0
23851,Chris Sale,FT,1.225,2.319,R,0.0,1.0
23852,Chris Sale,FF,0.009000000000000001,2.803,R,1.0,1.0
23853,Chris Sale,FT,-0.174,3.3510000000000004,R,1.0,2.0
23854,Chris Sale,CH,1.68,0.489,R,2.0,2.0
23855,Chris Sale,FT,-0.417,3.314,R,3.0,2.0
23856,Chris Sale,FT,0.777,1.888,R,3.0,2.0
23857,Chris Sale,FT,0.7829999999999999,3.213,R,3.0,2.0
23879,Chris Sale,FT,-0.7,2.101,R,0.0,0.0
